0971;x;060;007;971  BAB 1, km 407,075        ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   ;
0972;x;060;007;972  BAB 1, km 407,075        ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   ;
0973;x;060;007;973  BAB 1, km 407,075        ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   ;
0981;x;060;007;981  BAB 1, km 406,750        ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   ;
0982;x;060;007;982  BAB 1, km 406,750        ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   ;
0983;x;060;007;983  BAB 1, km 406,750        ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   ;
